Model,Training_accuracy,Test_accuracy,Precision,Recall,Specificity,F1 Score,Training MAE,Testing MAE,Training MSE,Test MSE,Training RMSE,Test RMSE,Training R Squared,Test R Squared
Decision Tree - Depth:8,0.9809017805858702,0.9764503159103963,0.9764503159103963,0.9764503159103963,0.9770114942528736,0.9764503159103963,0.01909821941412981,0.023549684089603676,0.01909821941412981,0.023549684089603676,0.13819630752711815,0.15345906323708508,0.030509964830011893,-0.04910346854791303
Random Forest - Depth:8,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:8,0.9820505456634119,0.9730040206777714,0.9730040206777714,0.9730040206777714,0.9769319492502884,0.9730040206777714,0.017949454336588167,0.026995979322228605,0.017949454336588167,0.026995979322228605,0.13397557365649967,0.16430453226319902,0.08882515491542464,-0.20263080540858325
Decision Tree - Depth:9,0.9813325674899483,0.9758759333716255,0.9758759333716255,0.9758759333716255,0.9769982748706153,0.9758759333716255,0.018667432510051693,0.024124066628374498,0.018667432510051693,0.024124066628374498,0.13662881288385584,0.15531924101145517,0.05237816111204163,-0.07469135802469151
Random Forest - Depth:9,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
XG Boost - Depth:9,0.9821941412981046,0.9724296381390006,0.9724296381390006,0.9724296381390006,0.9769186381996537,0.9724296381390006,0.017805858701895463,0.027570361860999426,0.017805858701895463,0.027570361860999426,0.1334385952485092,0.16604325298246667,0.09611455367610133,-0.22821869488536173
Logistic Regression,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
ADA Boost,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Cat Boost,0.9806145893164848,0.9758759333716255,0.9758759333716255,0.9758759333716255,0.9769982748706153,0.9758759333716255,0.019385410683515222,0.024124066628374498,0.019385410683515222,0.024124066628374498,0.1392315003277463,0.15531924101145517,0.015931167308658623,-0.07469135802469151
Light Gradient Boost,0.9816197587593337,0.9747271682940839,0.9747271682940839,0.9747271682940839,0.9769717904432931,0.9747271682940839,0.018380241240666284,0.02527283170591614,0.018380241240666284,0.02527283170591614,0.13557374834630148,0.158974311465457,0.0669569586333949,-0.12586713697824825
Histogram Gradient Boost,0.9813325674899483,0.9747271682940839,0.9747271682940839,0.9747271682940839,0.9769717904432931,0.9747271682940839,0.018667432510051693,0.02527283170591614,0.018667432510051693,0.02527283170591614,0.13662881288385584,0.158974311465457,0.05237816111204163,-0.12586713697824825
Support Vector Machine,0.9798966111430213,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.9770246984491672,0.020103388856978748,0.022975301550832855,0.020103388856978748,0.022975301550832855,0.14178641986092586,0.1515760586333899,-0.020515826494724276,-0.023515579071134773
Naive Bayes,0.14115450890292935,0.14704192992533027,0.14704192992533027,0.14704192992533027,0.9821428571428571,0.14704192992533027,0.8588454910970706,0.8529580700746697,0.8588454910970706,0.8529580700746697,0.926739171016889,0.9235572911707588,-42.59789398760676,-36.99801587301587
